timestamp,gamma_rad,dgamma_radps,phi_rad,dphi_radps
4.3641920090, 3.0485022068, -0.0011035482, -0.0591410697, -0.0000000000
4.3741950989, 3.0485022068, -0.0010963387, -0.0591410697, -0.0000000000
4.3824710846, 3.0485022068, -0.0021816615, -0.0591410697, -0.0000000000
4.3941688538, 3.0485022068, -0.0000005672, -0.0591410697, -0.0000000000
4.4041829109, 3.0485022068, -0.0021871696, -0.0591410697, -0.0000000000
4.4141507149, 3.0485022068, -0.0032907180, -0.0589840747, -0.0000000000
4.4241914749, 3.0485022068, 0.0000065667, -0.0589840747, -0.0000000000
4.4341926575, 3.0485022068, 0.0011039642, -0.0588906929, -0.0000000000
4.4441189766, 3.0485022068, -0.0011036166, -0.0588906929, -0.0000000000
4.4541091919, 3.0485022068, -0.0010908308, -0.0585766882, -0.0000000000
4.4641089439, 3.0485022068, -0.0000048551, -0.0585766882, -0.0000000000
4.4741024971, 3.0485022068, -0.0021827761, -0.0585766882, -0.0000000000
4.4840269089, 3.0485022068, -0.0021887459, -0.0585766882, -0.0000000000
4.4940342903, 3.0485022068, -0.0021876313, -0.0584832914, -0.0000000000
4.5040459633, 3.0485022068, 0.0000005668, -0.0584832914, -0.0000000000
4.5139360428, 3.0485022068, 0.0000066384, -0.0584832914, -0.0000000000
4.5239372253, 3.0485022068, -0.0021860325, -0.0584832914, -0.0000000000
4.5339441299, 3.0485022068, 0.0010969023, -0.0584832914, -0.0000000000
4.5438518524, 3.0485022068, -0.0010786877, -0.0584832914, -0.0000000000
4.5538659096, 3.0485022068, -0.0000187814, -0.0584196821, -0.0000000000
4.5638513565, 3.0485022068, -0.0011031834, -0.0584196821, -0.0000000000
4.5738668442, 3.0485022068, -0.0011090842, -0.0583262853, -0.0000000000
4.5837707520, 3.0485022068, -0.0010913912, -0.0583262853, -0.0000000000
4.5937619209, 3.0485022068, 0.0000000000, -0.0580122583, -0.0000000000
4.6037435532, 3.0485022068, -0.0021933909, -0.0580122583, -0.0000000000
4.6136760712, 3.0485022068, 0.0010615076, -0.0580122583, -0.0000000000
4.6236791611, 3.0485022068, -0.0011120992, -0.0580122583, -0.0000000000
4.6336760521, 3.0485022068, -0.0000058646, -0.0577618368, -0.0000000000
4.6435899734, 3.0485022068, 0.0010913813, -0.0577618368, -0.0000000000
4.6535768509, 3.0485022068, 0.0010838324, -0.0577618368, -0.0000000000
4.6635928154, 3.0485022068, -0.0010683429, -0.0577618368, -0.0000000000
4.6734910011, 3.0485022068, 0.0011090731, -0.0576048121, -0.0000000000
4.6835451126, 3.0485022068, -0.0010839144, -0.0576048121, -0.0000000000
4.6935038567, 3.0485022068, 0.0000058281, -0.0576048121, -0.0000000000
4.7034120560, 3.0485022068, -0.0011083151, -0.0576048121, -0.0000000000
4.7134151459, 3.0485022068, 0.0010961147, -0.0574477874, -0.0000000000
4.7234191895, 3.0485022068, -0.0010782370, -0.0574477874, -0.0000000000
4.7333402634, 3.0485022068, -0.0000224992, -0.0574477874, -0.0000000000
4.7433261871, 3.0485022068, 0.0010798500, -0.0574477874, -0.0000000000
4.7533321381, 3.0485022068, 0.0010834585, -0.0574477874, -0.0000000000
4.7632942200, 3.0485022068, 0.0021868832, -0.0574477874, -0.0000000000
4.7732458115, 3.0485022068, 0.0000293338, -0.0574477874, -0.0000000000
4.7832307816, 3.0485022068, -0.0021811239, -0.0574477874, -0.0000000000
4.7932410240, 3.0485022068, 0.0032949918, -0.0574477874, -0.0000000000
4.8031640053, 3.0485022068, 0.0021811239, -0.0574477874, -0.0000000000
4.8131546974, 3.0485022068, -0.0010730154, -0.0574477874, -0.0000000000
4.8231511116, 3.0485022068, -0.0010902931, -0.0574477874, -0.0000000000
4.8330659866, 3.0485022068, 0.0011023493, -0.0574477874, -0.0000000000
4.8430566788, 3.0485022068, 0.0000062969, -0.0574477874, -0.0000000000
4.8530640602, 3.0485022068, 0.0021984016, -0.0573543757, -0.0000000000
4.8629722595, 3.0485022068, 0.0032724924, -0.0573543757, -0.0000000000
4.8729767799, 3.0485022068, 0.0021693923, -0.0573543757, -0.0000000000
