time_sec,gamma_rad,dgamma_radps
12.3868780136, 3.0973711014, 0.0030612256
12.3968658447, 3.0973711014, 0.0031063792
12.4066658020, 3.0973711014, -0.0011811377
12.4169158936, 3.0973711014, 0.0020209323
12.4269208908, 3.0973711014, -0.0032472236
12.4368867874, 3.0973711014, 0.0000252689
12.4469079971, 3.0973711014, 0.0009951396
12.4568681717, 3.0973711014, -0.0032020700
12.4668502808, 3.0973711014, -0.0019306253
12.4768562317, 3.0973711014, 0.0052176183
12.4867973328, 3.0973711014, 0.0081433831
12.4968042374, 3.0973711014, 0.0042423634
12.5068073273, 3.0973711014, 0.0021563927
12.5167856216, 3.0973711014, -0.0040816339
12.5267419815, 3.0973711014, -0.0021563927
12.5367488861, 3.0973711014, -0.0009553703
12.5467586517, 3.0973711014, -0.0021816615
12.5566968918, 3.0973711014, -0.0010204085
12.5666866302, 3.0973711014, -0.0010908308
12.5766859055, 3.0973711014, -0.0030413407
12.5866432190, 3.0973711014, -0.0030864943
12.5966300964, 3.0973711014, 0.0000704223
12.6066427231, 3.0973711014, -0.0043127853
12.6166315079, 3.0973711014, 0.0011359842
12.6265878677, 3.0973711014, -0.0001859982
12.6365776062, 3.0973711014, -0.0021365080
12.6465826035, 3.0973711014, 0.0001354605
12.6565256119, 3.0973711014, -0.0052428870
12.6665258408, 3.0973711014, 0.0042676320
12.6765308380, 3.0973711014, -0.0031063792
12.6865243912, 3.0973711014, 0.0009499862
12.6964778900, 3.0973711014, -0.0020408169
12.7064781189, 3.0973711014, -0.0000650382
12.7164735794, 3.0973711014, -0.0021112394
12.7264184952, 3.0973711014, -0.0041520563
12.7364215851, 3.0973711014, -0.0052375025
12.7464227676, 3.0973711014, -0.0041773249
12.7564077377, 3.0973711014, -0.0009301015
12.7663555145, 3.0973711014, 0.0009752550
12.7763643265, 3.0973711014, 0.0011107154
12.7863674164, 3.0973711014, -0.0042224787
12.7963142395, 3.0973711014, 0.0010204085
12.8063154221, 3.0973711014, 0.0052428870
12.8163166046, 3.0973711014, -0.0042676320
12.8262405396, 3.0973711014, 0.0010204085
12.8362588882, 3.0973711014, -0.0042224787
12.8462657928, 3.0973711014, -0.0042224787
12.8562164307, 3.0973711014, 0.0020859705
12.8662080765, 3.0973711014, -0.0031316476
12.8762121201, 3.0973711014, -0.0022520840
12.8862085342, 3.0973711014, -0.0000252689
12.8961982727, 3.0973711014, -0.0010655620
12.9062070847, 3.0973711014, -0.0010908308
12.9161500931, 3.0973711014, -0.0022268151
12.9261598587, 3.0973711014, -0.0019053565
12.9361429214, 3.0973711014, -0.0042676320
12.9461002350, 3.0973711014, 0.0000704223
12.9560861588, 3.0973711014, 0.0009499862
12.9660892487, 3.0973711014, -0.0021365080
12.9760923386, 3.0973711014, -0.0061928728
12.9860305786, 3.0973711014, 0.0020408169
12.9960479736, 3.0973711014, 0.0021563927
13.0060482025, 3.0973711014, -0.0000704223
13.0159940720, 3.0973711014, 0.0011612531
13.0259943008, 3.0973711014, 0.0011107154
13.0359907150, 3.0973711014, 0.0054288851
13.0459566116, 3.0973711014, -0.0049864668
13.0559310913, 3.0973711014, 0.0012064066
13.0659418106, 3.0973711014, -0.0031966860
13.0759420395, 3.0973711014, 0.0021563927
13.0858736038, 3.0973711014, 0.0020408169
13.0958843231, 3.0973711014, -0.0001408446
13.1058769226, 3.0973711014, 0.0002763050
13.1158304214, 3.0973711014, 0.0011811377
13.1258220673, 3.0973711014, -0.0021563927
13.1358356476, 3.0973711014, 0.0084196879
13.1458253860, 3.0973711014, 0.0020607018
13.1557788849, 3.0973711014, 0.0034982599
13.1657819748, 3.0973711014, -0.0029257652
13.1757698059, 3.0973711014, 0.0011107154
13.1857423782, 3.0973711014, -0.0010204085
13.1957139969, 3.0973711014, -0.0007892572
13.2057275772, 3.0973711014, -0.0009951396
13.2156896591, 3.0973711014, 0.0009499862
13.2256622314, 3.0973711014, 0.0011811377
13.2356681824, 3.0973711014, 0.0022268151
13.2456846237, 3.0973711014, 0.0010456773
13.2556123734, 3.0973711014, -0.0019956634
13.2656660080, 3.0973711014, 0.0000000000
13.2756881714, 3.0973711014, -0.0040364806
13.2856740952, 3.0973711014, 0.0021762773
13.2955598831, 3.0973711014, 0.0032219547
13.3055610657, 3.0973711014, -0.0029004961
13.3155755997, 3.0973711014, -0.0010601780
13.3255119324, 3.0973711014, -0.0031063792
13.3355140686, 3.0973711014, -0.0009752550
13.3455162048, 3.0973711014, -0.0000451535
13.3554944992, 3.0973711014, -0.0020408169
13.3654699326, 3.0973711014, 0.0041773249
13.3755064011, 3.0973711014, -0.0041267872
13.3854522705, 3.0973711014, 0.0042676320
13.3954401016, 3.0973711014, 0.0032671082
13.4054107666, 3.0973711014, 0.0000000000
13.4153842926, 3.0973711014, 0.0043127853
13.4253883362, 3.0973711014, 0.0043380545
